space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
rawpca,22,wildjailbreak,power_multi,0.8155678825125708,0.5601771196283392,0.2553907628842317
rawpca,24,aegis-2.0,linear_probe,0.9132536231884059,0.7750649350649351,0.13818868812347074
rawpca,24,aegis-2.0,plain_voronoi,0.8126873706004141,0.5938961038961039,0.21879126670431015
rawpca,24,aegis-2.0,lda,0.9068385093167702,0.7417532467532468,0.1650852625635234
rawpca,24,aegis-2.0,qda,0.8816449275362317,0.7654545454545456,0.11619038208168608
rawpca,24,aegis-2.0,power_single,0.8126873706004141,0.5938961038961039,0.21879126670431015
rawpca,24,aegis-2.0,power_multi,0.83725,0.7211688311688312,0.11608116883116881
rawpca,24,toxic-chat,linear_probe,0.8504811677810394,0.8979880413703943,-0.0475068735893549
rawpca,24,toxic-chat,plain_voronoi,0.8207981694390085,0.7899563671622496,0.030841802276758923
rawpca,24,toxic-chat,lda,0.8467796158132203,0.901139301874596,-0.054359686061375756
rawpca,24,toxic-chat,qda,0.8347069335725157,0.7853102779573368,0.04939665561517892
rawpca,24,toxic-chat,power_single,0.8207981694390085,0.7899563671622496,0.030841802276758923
rawpca,24,toxic-chat,power_multi,0.7722138984018265,0.6828943115707822,0.08931958683104435
rawpca,24,wildjailbreak,linear_probe,0.892038828127699,0.8256387921022068,0.06640003602549216
rawpca,24,wildjailbreak,plain_voronoi,0.8471376357100284,0.7865853658536586,0.060552269856369856
rawpca,24,wildjailbreak,lda,0.8924064627775005,0.8021922183507548,0.09021424442674564
rawpca,24,wildjailbreak,qda,0.8639889386970487,0.7650624274099883,0.09892651128706043
rawpca,24,wildjailbreak,power_single,0.8471376357100284,0.7865853658536586,0.060552269856369856
rawpca,24,wildjailbreak,power_multi,0.8279307826737492,0.6497168989547037,0.17821388371904545
rawpca,26,aegis-2.0,linear_probe,0.9128980331262941,0.7669480519480519,0.1459499811782422
rawpca,26,aegis-2.0,plain_voronoi,0.8348902691511387,0.6012987012987013,0.2335915678524374
rawpca,26,aegis-2.0,lda,0.912051242236025,0.7570779220779221,0.15497332015810283
rawpca,26,aegis-2.0,qda,0.8905108695652174,0.7548701298701299,0.1356407396950875
rawpca,26,aegis-2.0,power_single,0.8348902691511387,0.6012987012987013,0.2335915678524374
rawpca,26,aegis-2.0,power_multi,0.8548752587991718,0.7766233766233767,0.07825188217579515
rawpca,26,toxic-chat,linear_probe,0.8516335072841923,0.8752828054298643,-0.02364929814567196
rawpca,26,toxic-chat,plain_voronoi,0.8360189545281582,0.8404977375565611,-0.004478783028402877
rawpca,26,toxic-chat,lda,0.8482456274461839,0.8946751777634131,-0.046429550317229173
rawpca,26,toxic-chat,qda,0.8353647701946075,0.7796541693600517,0.05571060083455581
rawpca,26,toxic-chat,power_single,0.8360189545281582,0.8404977375565611,-0.004478783028402877
rawpca,26,toxic-chat,power_multi,0.8135645996412263,0.6565530058177116,0.1570115938235147
rawpca,26,wildjailbreak,linear_probe,0.8775135020086733,0.8667973286875726,0.010716173321100642
rawpca,26,wildjailbreak,plain_voronoi,0.8595752977470379,0.8406286295005807,0.018946668246457188
rawpca,26,wildjailbreak,lda,0.8780228873987473,0.8528963414634146,0.0251265459353327
rawpca,26,wildjailbreak,qda,0.8596971146343468,0.7848795005807201,0.07481761405362675
rawpca,26,wildjailbreak,power_single,0.8595752977470379,0.8406286295005807,0.018946668246457188
rawpca,26,wildjailbreak,power_multi,0.8494932254681575,0.6622749709639953,0.18721825450416218
rawpca,28,aegis-2.0,linear_probe,0.9062996894409938,0.7463636363636365,0.15993605307735737
rawpca,28,aegis-2.0,plain_voronoi,0.8338607660455487,0.5827272727272728,0.25113349331827595
rawpca,28,aegis-2.0,lda,0.9065403726708074,0.7293506493506493,0.17718972332015814
rawpca,28,aegis-2.0,qda,0.8902463768115941,0.7709090909090909,0.11933728590250325
rawpca,28,aegis-2.0,power_single,0.8338607660455487,0.5827272727272728,0.25113349331827595
rawpca,28,aegis-2.0,power_multi,0.8559472049689442,0.7594155844155843,0.09653162055335984
rawpca,28,toxic-chat,linear_probe,0.8362375822189607,0.8780704589528119,-0.041832876733851165
rawpca,28,toxic-chat,plain_voronoi,0.8239658927212437,0.8304379444085327,-0.006472051687289038
rawpca,28,toxic-chat,lda,0.8345638148238747,0.8831205559146735,-0.04855674109079888
rawpca,28,toxic-chat,qda,0.8397939769515113,0.7956932773109244,0.04410069964058683
rawpca,28,toxic-chat,power_single,0.8239658927212437,0.8304379444085327,-0.006472051687289038
rawpca,28,toxic-chat,power_multi,0.8341388752989779,0.6954993535875889,0.13863952171138905
rawpca,28,wildjailbreak,linear_probe,0.8787614426073798,0.7985264227642277,0.08023501984315207
rawpca,28,wildjailbreak,plain_voronoi,0.8625866298644855,0.7938443670150988,0.06874226284938678
rawpca,28,wildjailbreak,lda,0.8792776678503881,0.7928644018583043,0.08641326599208377
rawpca,28,wildjailbreak,qda,0.858402823856613,0.7872749709639953,0.0711278528926177
rawpca,28,wildjailbreak,power_single,0.8625866298644855,0.7938443670150988,0.06874226284938678
rawpca,28,wildjailbreak,power_multi,0.8292577935607301,0.601517131242741,0.22774066231798917
rawpca,30,aegis-2.0,linear_probe,0.9041180124223602,0.7296753246753247,0.17444268774703553
rawpca,30,aegis-2.0,plain_voronoi,0.8682199792960661,0.6407142857142858,0.2275056935817803
rawpca,30,aegis-2.0,lda,0.9033017598343684,0.7057142857142856,0.19758747412008282
rawpca,30,aegis-2.0,qda,0.8878333333333334,0.7553896103896105,0.13244372294372286
rawpca,30,aegis-2.0,power_single,0.8682199792960661,0.6407142857142858,0.2275056935817803
rawpca,30,aegis-2.0,power_multi,0.8434642857142857,0.769935064935065,0.07352922077922064
rawpca,30,toxic-chat,linear_probe,0.8251302083333334,0.8615465416936005,-0.03641633336026706
rawpca,30,toxic-chat,plain_voronoi,0.8055455329963035,0.793956043956044,0.01158948904025947
rawpca,30,toxic-chat,lda,0.8238311827299413,0.8685762766645119,-0.0447450939345706
rawpca,30,toxic-chat,qda,0.8340087519025875,0.7797753716871364,0.0542333802154511
rawpca,30,toxic-chat,power_single,0.8055455329963035,0.793956043956044,0.01158948904025947
rawpca,30,toxic-chat,power_multi,0.7938969409110677,0.7783209437621202,0.015575997148947418
rawpca,30,wildjailbreak,linear_probe,0.867612402906848,0.7895978513356561,0.07801455157119197
rawpca,30,wildjailbreak,plain_voronoi,0.8334758782510148,0.7300740418118467,0.10340183643916812
rawpca,30,wildjailbreak,lda,0.8681428538526935,0.7909770615563299,0.07716579229636367
rawpca,30,wildjailbreak,qda,0.852555623192998,0.7725029036004645,0.08005271959253357
rawpca,30,wildjailbreak,power_single,0.8334758782510148,0.7300740418118467,0.10340183643916812
rawpca,30,wildjailbreak,power_multi,0.8071835828440207,0.5972706155632984,0.20991296728072228
rawpca,32,aegis-2.0,linear_probe,0.9021149068322982,0.7308441558441559,0.17127075098814237
