model,layer,frame,pair,rho_before,rho_after,rho_delta,d_b_before,d_b_after,d_b_retained,d_mean_before,d_mean_after,d_disp_before,d_disp_after,delta_before,delta_after,frame_variance_removed
Llama-3.1-8B-Instruct,32,pns,Jailbreak_vs_Benign,0.6245357806362145,0.5338676569545542,-0.09066812368166033,0.5183870232941212,0.3066879445701224,0.591619640903153,0.1946357790294438,0.142957170186263,0.3237512442646775,0.1637307743838594,0.9682598629953101,-0.6181457605206604,0.7635056306344568
Llama-3.1-8B-Instruct,32,pns,Jailbreak_vs_Refusal,0.7168975655489478,0.9341585014582499,0.21726093590930207,0.9536622009913038,0.5629047411861694,0.5902559004656434,0.2699840907445868,0.03706249169595342,0.6836781102467171,0.525842249490216,0.9682598629953101,-0.6181457605206604,0.7635056306344568
Mistral-7B-Instruct-v0.3,2,pns,Jailbreak_vs_Benign,0.6536910098866583,0.6377984987488357,-0.01589251113782264,0.186166354582195,0.17612856026177143,0.9460815873902083,0.06447108224844221,0.06379402894001979,0.12169527233375277,0.11233453132175164,0.235056560805033,0.3256636241470757,0.637232375809893
Mistral-7B-Instruct-v0.3,2,pns,Jailbreak_vs_Refusal,0.7727257588522326,0.8989058743511383,0.12618011549890573,0.466781688706478,0.1446027730741578,0.30978673022687275,0.10608745408243819,0.014618490910332748,0.3606942346240398,0.12998428216382507,0.235056560805033,0.3256636241470757,0.637232375809893
Mistral-7B-Instruct-v0.3,4,pns,Jailbreak_vs_Benign,0.6310903509104038,0.5800092479303335,-0.05108110298007029,0.21960839103990315,0.1898717432263547,0.8645923879650607,0.08101565447566152,0.07974437623441533,0.13859273656424165,0.11012736699193937,-0.3281037941947874,0.11458875875536875,0.7533636391406222
Mistral-7B-Instruct-v0.3,4,pns,Jailbreak_vs_Refusal,0.8125821621178161,0.9282426665744425,0.11566050445662646,0.6001542178982773,0.25049488262977593,0.4173841908618118,0.11247960591436822,0.017974844814260704,0.48767461198390905,0.23252003781551522,-0.3281037941947874,0.11458875875536875,0.7533636391406222
Mistral-7B-Instruct-v0.3,6,pns,Jailbreak_vs_Benign,0.5685220674311157,0.5404544392783402,-0.028067628152775415,0.3296358067288939,0.2986999331245307,0.9061513556086273,0.14223057638805947,0.13726622825523474,0.18740523034083445,0.16143370486929598,-0.3660913256231597,0.18886899631260806,0.7379967133876386
Mistral-7B-Instruct-v0.3,6,pns,Jailbreak_vs_Refusal,0.7370562977881183,0.9053552277383012,0.16829892995018292,0.7943100468969523,0.3085426733578693,0.38844110629497963,0.208858824435178,0.029201951052971242,0.5854512224617743,0.27934072230489804,-0.3660913256231597,0.18886899631260806,0.7379967133876386
Mistral-7B-Instruct-v0.3,8,pns,Jailbreak_vs_Benign,0.6055098292115445,0.5752502598969387,-0.030259569314605828,0.22542530808875266,0.20843297717560266,0.9246210150172672,0.08892806828797224,0.08853185288424453,0.13649723980078043,0.11990112429135813,-0.4774817982393279,0.202122117970354,0.7262788123340141
Mistral-7B-Instruct-v0.3,8,pns,Jailbreak_vs_Refusal,0.747094221391544,0.9415370929230865,0.1944428715315425,0.7903677963737298,0.4113978881549613,0.5205144871064933,0.19988858292894776,0.024051516506841966,0.590479213444782,0.38734637164811936,-0.4774817982393279,0.202122117970354,0.7262788123340141
Mistral-7B-Instruct-v0.3,10,pns,Jailbreak_vs_Benign,0.5677783684942579,0.556936848397031,-0.010841520097226942,0.3946321276352875,0.36329335300693727,0.9205873712914905,0.17056854205110622,0.1609618979396636,0.22406358558418127,0.20233145506727368,-0.3908631391738598,0.1353726836314898,0.7141869298555747
Mistral-7B-Instruct-v0.3,10,pns,Jailbreak_vs_Refusal,0.7150356651419569,0.9040323816282286,0.1889967164862717,0.8198993751210262,0.41631067661157656,0.5077582557617202,0.23364208008188836,0.03995234413715371,0.5862572950391378,0.37635833247442285,-0.3908631391738598,0.1353726836314898,0.7141869298555747
Mistral-7B-Instruct-v0.3,12,pns,Jailbreak_vs_Benign,0.4773575779101449,0.5037341001286701,0.026376522218525267,0.45494182274575423,0.3954815778518747,0.8693014316973248,0.23777189614981453,0.19626402111519398,0.2171699265959397,0.19921755673668073,-0.5414250615701212,-0.11915933996669821,0.6858158720326217
Mistral-7B-Instruct-v0.3,12,pns,Jailbreak_vs_Refusal,0.6666700794666418,0.8842421316746459,0.21757205220800413,0.7562646474413558,0.4204644577235697,0.5559752913826035,0.2520856348338153,0.04867206933265637,0.5041790126075405,0.37179238839091333,-0.5414250615701212,-0.11915933996669821,0.6858158720326217
Mistral-7B-Instruct-v0.3,14,pns,Jailbreak_vs_Benign,0.47016012972726917,0.4889362357213849,0.01877610599411572,0.45054394712223267,0.3660150940871816,0.8123848881447332,0.23871614649540784,0.18705705176698648,0.21182780062682482,0.17895804232019508,-0.7520235959029056,-0.29053296297844133,0.6548759298239578
Mistral-7B-Instruct-v0.3,14,pns,Jailbreak_vs_Refusal,0.6228127696271427,0.8825887506481472,0.2597759810210045,0.6220922895413933,0.36480549936261863,0.5864170083695354,0.23464526772842775,0.0428322694505916,0.38744702181296553,0.32197322991202704,-0.7520235959029056,-0.29053296297844133,0.6548759298239578
Mistral-7B-Instruct-v0.3,16,pns,Jailbreak_vs_Benign,0.5470361861362547,0.536312287553229,-0.010723898583025693,0.441525417825788,0.34191810622732105,0.7744018632291542,0.19999503717615266,0.15854322452067854,0.2415303806496354,0.1833748817066425,-1.0655455948247217,-0.5561072183755977,0.6691214143851731
Mistral-7B-Instruct-v0.3,16,pns,Jailbreak_vs_Refusal,0.6955401110695527,0.8592593575189097,0.16371924644935698,0.6783902113840092,0.4178847010799693,0.6159945914128494,0.20654260840947813,0.05881336131301322,0.4718476029745311,0.35907133976695604,-1.0655455948247217,-0.5561072183755977,0.6691214143851731
Mistral-7B-Instruct-v0.3,18,pns,Jailbreak_vs_Benign,0.7510492421689943,0.744127113950351,-0.006922128218643242,0.46923287216905424,0.2631102664203583,0.5607242843071009,0.1168158791257055,0.06732278321826911,0.3524169930433487,0.19578748320208916,0.1328349048465677,0.024350608129780776,0.7445116845151283
Mistral-7B-Instruct-v0.3,18,pns,Jailbreak_vs_Refusal,0.6071680880045237,0.9428957746493585,0.33572768664483477,0.8108018752367249,0.38158067453306016,0.4706213517595188,0.31850885089876024,0.021789868827985684,0.4922930243379646,0.3597908057050745,0.1328349048465677,0.024350608129780776,0.7445116845151283
Mistral-7B-Instruct-v0.3,20,pns,Jailbreak_vs_Benign,0.7421644425217323,0.7240721780341264,-0.018092264487605925,0.506586668839492,0.30298440983995756,0.5980899784316192,0.130616056171289,0.08360182829675514,0.375970612668203,0.21938258154320245,0.06765500845968214,0.02588589914542682,0.72975391681082
Mistral-7B-Instruct-v0.3,20,pns,Jailbreak_vs_Refusal,0.6294434197663571,0.9340483813415155,0.3046049615751584,0.8391650271468878,0.3958200939092181,0.47168325788669163,0.31095812271122275,0.026104975890866283,0.528206904435665,0.3697151180183518,0.06765500845968214,0.02588589914542682,0.72975391681082
